record_id,source,status,record_count,completion,error_count,processed_date
EQ-2001,maintenance,active,12000,100,0,2026-01-05
EQ-2002,logistics,active,8500,95,2,2026-01-08
EQ-2003,finance,inactive,6400,100,0,2026-01-12
EQ-2004,maintenance,active,4300,82,7,2026-01-15
EQ-2005,logistics,inactive,15000,73,9,2026-01-18
EQ-2006,maintenance,active,24661,85,0,2026-01-12
EQ-2007,logistics,active,21349,100,0,2026-03-17
EQ-2008,logistics,inactive,22418,92,2,2026-01-12
EQ-2009,maintenance,active,13205,67,0,2026-01-26
EQ-2010,maintenance,active,22710,86,0,2026-02-23
EQ-2011,maintenance,inactive,18252,94,1,2026-02-13
EQ-2012,logistics,active,23299,87,8,2026-06-13
EQ-2013,logistics,active,1801,98,3,2026-02-28
EQ-2014,finance,active,24274,65,5,2026-05-26
EQ-2015,maintenance,active,5431,87,5,2026-04-28
EQ-2016,maintenance,active,14788,92,0,2026-05-30
EQ-2017,finance,active,16921,79,9,2026-05-11
EQ-2018,maintenance,active,14583,69,1,2026-06-24
EQ-2019,logistics,active,18878,93,0,2026-03-06
EQ-2020,finance,active,9493,96,2,2026-05-18
EQ-2021,finance,active,24411,83,0,2026-01-01
EQ-2022,finance,active,21239,91,0,2026-01-28
EQ-2023,maintenance,active,18424,93,0,2026-02-11
EQ-2024,finance,inactive,1388,100,1,2026-05-06
EQ-2025,maintenance,active,2648,100,3,2026-03-03
EQ-2026,maintenance,active,18205,67,2,2026-01-18
EQ-2027,finance,active,18040,90,1,2026-03-09
EQ-2028,finance,active,7341,79,1,2026-06-26
EQ-2029,logistics,active,15544,95,0,2026-05-13
EQ-2030,maintenance,active,20032,85,1,2026-02-28
EQ-2031,maintenance,active,11577,94,0,2026-01-09
EQ-2032,maintenance,active,24452,95,0,2026-02-03
EQ-2033,finance,active,6989,90,3,2026-04-15
EQ-2034,maintenance,active,22814,85,0,2026-01-14
EQ-2035,logistics,active,8897,65,2,2026-01-28
EQ-2036,maintenance,active,8935,72,0,2026-04-29
EQ-2037,finance,active,2407,98,4,2026-01-26
EQ-2038,logistics,active,6199,61,0,2026-03-02
EQ-2039,logistics,active,13168,99,5,2026-02-12
EQ-2040,maintenance,active,14611,100,3,2026-03-15
EQ-2041,logistics,inactive,5822,97,2,2026-05-05
EQ-2042,maintenance,active,11026,65,2,2026-01-16
EQ-2043,maintenance,active,2613,91,4,2026-02-10
EQ-2044,finance,active,8457,76,1,2026-06-22
EQ-2045,logistics,inactive,21045,92,1,2026-01-11
EQ-2046,maintenance,active,7443,92,0,2026-03-08
EQ-2047,logistics,active,10580,81,0,2026-06-15
EQ-2048,logistics,inactive,19198,100,0,2026-06-09
EQ-2049,finance,active,3004,79,0,2026-03-31
EQ-2050,finance,active,10662,74,4,2026-06-30
EQ-2051,logistics,inactive,10560,94,0,2026-05-22
EQ-2052,finance,active,18878,99,0,2026-01-28
EQ-2053,maintenance,active,21532,78,0,2026-06-25
EQ-2054,finance,active,3774,81,5,2026-01-14
EQ-2055,logistics,inactive,21626,63,0,2026-02-03
EQ-2056,finance,active,1066,89,2,2026-05-24
EQ-2057,maintenance,inactive,12848,95,0,2026-01-10
EQ-2058,logistics,active,12474,71,0,2026-01-11
EQ-2059,maintenance,active,21087,69,3,2026-04-15
EQ-2060,finance,inactive,14260,80,0,2026-02-15
EQ-2061,maintenance,inactive,24836,84,6,2026-06-21
EQ-2062,finance,active,16173,97,0,2026-01-10
EQ-2063,maintenance,inactive,8054,90,0,2026-02-28
EQ-2064,maintenance,active,12256,84,4,2026-03-13
EQ-2065,logistics,active,4529,100,1,2026-01-08
EQ-2066,finance,active,4302,93,8,2026-01-10
EQ-2067,logistics,active,4539,97,0,2026-05-11
EQ-2068,maintenance,active,17786,81,2,2026-01-01
EQ-2069,finance,active,7206,96,2,2026-06-21
EQ-2070,maintenance,active,22487,94,0,2026-03-22
EQ-2071,finance,active,11438,83,0,2026-04-15
EQ-2072,logistics,active,22944,71,0,2026-04-08
